rank,name,location,state,median_SAT_ACT_score,SAT,ACT,est_price_2018_19_without_aid,est_price_2018.19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings,diff_price_ecEarning,diff_price_debt,lon,lat
524,Earlham College,"Richmond, IN",IN,NA/NA,NA,NA,60100,24200,100,26000,46000,-14100,20000,-84.913052,39.8208853
526,Whittier College,"Whittier, CA",CA,1030/23,1030,23,62900,27500,88,25500,47000,-15900,21500,-118.0322857,33.9787488
527,University of North Carolina at Asheville,"Asheville, NC",NC,1150/26,1150,26,20400,12400,94,20600,40900,20500,20300,-82.5673128,35.616292
528,University of North Texas,"Denton, TX",TX,1090/24,1090,24,24500,11200,68,20000,46800,22300,26800,-97.1525862,33.207488
529,University of the Sciences,"Philadelphia, PA",PA,1170/26,1170,26,61500,37400,68,27000,54000,-7500,27000,-75.2070979,39.9468299
530,Grace College and Theological Seminary,"Winona Lake, IN",IN,1050/24,1050,24,34800,19400,95,21500,41100,6300,19600,-85.8158719,41.2259141
531,Texas A & M University-Commerce,"Commerce, TX",TX,980/21,980,21,22200,9700,90,20500,44200,22000,23700,-96.4803466,30.6384561
532,Salem State University,"Salem, MA",MA,990/22,990,22,26900,17800,NA,24000,45600,18700,21600,-70.890682,42.503103
533,Carroll College,"Helena, MT",MT,1110/25,1110,25,49700,27300,99,27000,45600,-4100,18600,-112.03888,46.600734
534,Nazareth College,"Rochester, NY",NY,NA/NA,NA,NA,50600,30500,100,26500,41400,-9200,14900,-77.520027,43.1030175
535,St Bonaventure University,"Saint Bonaventure, NY",NY,1050/24,1050,24,48500,25100,100,27000,45700,-2800,18700,-78.4828822,42.0784113
536,Robert Morris University Illinois,"Chicago, IL",IL,NA/NA,NA,NA,46400,22800,91,24500,42600,-3800,18100,-87.6271937,41.8763084
537,University of North Florida,"Jacksonville, FL",FL,1130/24,1130,24,21700,14500,64,16000,45600,23900,29600,-81.5072314,30.2661204
538,University of Kentucky,"Lexington, KY",KY,1130/26,1130,26,30200,19200,46,22800,48400,18200,25600,-84.5039697,38.0306511
538,Chapman University,"Orange, CA",CA,1210/28,1210,28,71100,43700,90,20900,49200,-21900,28300,-117.8513503,33.7933476
540,The University of Tennessee-Knoxville,"Knoxville, TN",TN,1150/27,1150,27,31700,22300,88,20000,48000,16300,28000,-83.9294564,35.9544013
541,Pratt Institute-Main,"Brooklyn, NY",NY,1170/27,1170,27,66900,47500,50,26300,49900,-17000,23600,-73.9989401,40.7380797
542,King's College,"Wilkes-Barre, PA",PA,NA/NA,NA,NA,53300,27800,100,27000,44100,-9200,17100,-75.8792853,41.2499673
543,Eastern Illinois University,"Charleston, IL",IL,NA/21,NA,21,24200,15900,75,23700,43800,19600,20100,-88.1751507,39.4836717
544,Hanover College,"Hanover, IN",IN,1050/25,1050,25,51700,24600,100,27000,44800,-6900,17800,-85.4623681,38.7192502
545,Baldwin Wallace University,"Berea, OH",OH,NA/NA,NA,NA,47100,24000,100,27000,44500,-2600,17500,-81.8478088,41.3711165
546,Rhode Island School of Design,"Providence, RI",RI,1210/27,1210,27,69200,42300,91,27000,50500,-18700,23500,-71.407492,41.826111
547,Shippensburg University of Pennsylvania,"Shippensburg, PA",PA,970/21,970,21,28900,19700,74,25000,46200,17300,21200,-77.5234365,40.0603939
548,Alfred University,"Alfred, NY",NY,1030/23,1030,23,44700,23700,99,27000,48600,3900,21600,-77.7862799,42.2554523
549,University of Dallas,"Irving, TX",TX,1170/27,1170,27,56200,27100,98,24000,49100,-7100,25100,-96.9216857,32.8481339
550,Judson University,"Elgin, IL",IL,1070/22,1070,22,43800,26500,34,23000,41900,-1900,18900,-88.2901505,42.0598247
550,Westminster College,"Salt Lake City, UT",UT,1110/25,1110,25,48900,26400,99,25000,48800,-100,23800,-91.9544836,38.8500391
552,Bridgewater State University,"Bridgewater, MA",MA,990/22,990,22,26800,16900,75,24600,44700,17900,20100,-70.9660014,41.9877398
553,Harding University,"Searcy, AR",AR,1100/25,1100,25,30700,19700,92,27000,46100,15400,19100,-91.7235465,35.245152
554,University of Missouri-St Louis,"Saint Louis, MO",MO,1010/24,1010,24,25300,9400,82,21000,45800,20500,24800,-90.30828,38.7092401
555,Wilkes University,"Wilkes-Barre, PA",PA,1010/23,1010,23,55300,26900,98,26000,48200,-7100,22200,-75.888107,41.2448632
555,Goldey-Beacom College,"Wilmington, DE",DE,NA/NA,NA,NA,39600,16900,NA,23700,47700,8100,24000,-75.6895335,39.7415725
557,Marian University,"Indianapolis, IN",IN,1020/22,1020,22,49100,22600,43,27000,47600,-1500,20600,-86.2035016,39.8146979
557,Benedictine College,"Atchison, KS",KS,1060/25,1060,25,44700,26600,100,27000,45800,1100,18800,-95.1113744,39.5731522
559,Western Carolina University,"Cullowhee, NC",NC,1020/23,1020,23,22000,14700,91,22000,42400,20400,20400,-83.1829254,35.3092494
560,University of Central Missouri,"Warrensburg, MO",MO,NA/23,NA,23,20000,14600,62,22400,44400,24400,22000,-93.7383724,38.7580823
561,SUNY Buffalo State,"Buffalo, NY",NY,880/20,880,20,25800,12900,90,21400,40800,15000,19400,-78.8818886,42.9335369
562,Robert Morris University,"Moon Township, PA",PA,1040/24,1040,24,47400,26300,98,27000,47400,0,20400,-80.2119216,40.5215511
563,Geneva College,"Beaver Falls, PA",PA,1070/25,1070,25,39000,21700,100,25300,44800,5800,19500,-80.3218472,40.7713156
564,Coe College,"Cedar Rapids, IA",IA,1150/25,1150,25,56600,23500,100,28100,46000,-10600,17900,-91.6591287,41.9884283
565,Reed College,"Portland, OR",OR,1380/31,1380,31,71500,29900,98,16000,51100,-20400,35100,-122.6303724,45.4809782
566,Union University,"Jackson, TN",TN,1160/27,1160,27,53000,27700,59,24800,44300,-8700,19500,-88.8595906,35.6773778
567,Dominican College of Blauvelt,"Orangeburg, NY",NY,890/19,890,19,46700,21200,96,26000,47800,1100,21800,-73.9498626,41.0396992
567,The Master's University and Seminary,"Santa Clarita, CA",CA,1080/25,1080,25,48900,28600,97,20500,45100,-3800,24600,-118.519341,34.38247
569,Cabrini University,"Radnor, PA",PA,970/21,970,21,47900,26800,100,26800,46000,-1900,19200,-75.3740633,40.0553552
