rank,name,location,median_SAT_ACT_score,est_price_2018_19_without_aid,est_price_2018-19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings
318,Miami University-Oxford,"Oxford, OH",1240/29,32600,21700,85%,24800,53500
320,Bethel College-Indiana,"Mishawaka, IN",1030/23,41700,21000,NA,26100,39800
320,Kean University,"Union, NJ",920/20,30000,17400,70%,25000,45700
320,Augustana College,"Rock Island, IL",NA/NA,54700,25300,98%,27000,45000
323,Spelman College,"Atlanta, GA",1080/24,52900,34800,79%,27000,47500
324,Macalester College,"Saint Paul, MN",1380/31,67900,30600,99%,22700,49500
325,Saint Louis University,"Saint Louis, MO",1220/28,58600,35700,94%,26000,51000
326,Illinois College,"Jacksonville, IL",NA/NA,43900,19700,100%,27000,42800
327,Cedar Crest College,"Allentown, PA",990/22,53400,20600,100%,27800,45200
328,University of Minnesota-Duluth,"Duluth, MN",1090/24,25000,16800,85%,25000,49600
329,Saint Mary's University of Minnesota,"Winona, MN",1010/23,46400,22800,97%,23300,48800
330,Rochester Institute of Technology,"Rochester, NY",1240/29,56000,31300,95%,28000,58400
331,California State University-Monterey Bay,"Seaside, CA",NA/NA,23900,12200,75%,14000,46200
331,California State University-Channel Islands,"Camarillo, CA",NA/NA,29300,15500,NA,15200,47700
333,Fordham University,"Bronx, NY",1270/29,74000,40800,96%,26000,54400
334,Central Washington University,"Ellensburg, WA",1060/21,23100,15100,84%,20700,49000
335,Clark University,"Worcester, MA",NA/NA,56300,28300,97%,27000,47600
336,Gannon University,"Erie, PA",1030/23,47700,23600,98%,27000,48100
337,Cedarville University,"Cedarville, OH",1200/26,40100,24500,79%,22500,48600
338,Regis University,"Denver, CO",1060/24,52400,28500,86%,22900,53800
338,The University of Findlay,"Findlay, OH",990/23,46700,21600,100%,25000,46500
340,Albion College,"Albion, MI",1050/23,58100,22200,100%,27200,48500
341,Quinnipiac University,"Hamden, CT",1090/25,65300,40200,97%,26000,52400
342,Goshen College,"Goshen, IN",1030/26,47600,18700,98%,20100,42900
343,La Salle University,"Philadelphia, PA",980/22,46600,28700,97%,27000,51100
344,University of Wisconsin-Stout,"Menomonie, WI",NA/22,20200,15100,72%,25500,48000
345,University of South Dakota,"Vermillion, SD",1050/23,22800,17700,NA,25000,45600
345,Nebraska Wesleyan University,"Lincoln, NE",1090/24,47700,25300,99%,25000,43500
347,Keene State College,"Keene, NH",980/21,27900,20000,70%,26300,46100
348,Mississippi State University,"Starkville, MS",NA/25,25000,16800,87%,23300,47900
349,University of Wyoming,"Laramie, WY",1090/24,20300,14100,66%,18500,49700
349,University of Mount Olive,"Mount Olive, NC",1090/20,31900,16200,92%,28000,39800
351,University of Central Florida,"Orlando, FL",1180/26,22800,16700,71%,18300,46400
352,Messiah College,"Mechanicsburg, PA",1150/26,49100,29000,99%,26000,47600
353,Truman State University,"Kirksville, MO",1200/27,21600,13400,94%,22700,45000
354,SUNY College at Old Westbury,"Old Westbury, NY",970/22,23900,10800,86%,16200,45400
355,SUNY College at Plattsburgh,"Plattsburgh, NY",1100/23,25200,15300,86%,22000,43400
355,University of Rhode Island,"Kingston, RI",1070/25,30200,19700,86%,23400,50900
357,Susquehanna University,"Selinsgrove, PA",NA/NA,61200,28500,100%,27000,47300
358,Monmouth University,"West Long Branch, NJ",1030/23,56200,31800,57%,26700,48400
359,University of Massachusetts-Lowell,"Lowell, MA",1170/27,30600,19700,88%,25000,55400
360,Whitman College,"Walla Walla, WA",1310/30,66100,36800,100%,17500,50000
361,Bryn Mawr College,"Bryn Mawr, PA",1340/30,70100,34300,98%,26000,50200
362,University of Pittsburgh-Pittsburgh Campus,"Pittsburgh, PA",1290/30,34000,25300,74%,26900,52100
362,Luther College,"Decorah, IA",1060/26,55300,27300,100%,27000,46400
364,Allegheny College,"Meadville, PA",NA/NA,62600,28500,100%,29000,46700
365,Trinity Christian College,"Palos Heights, IL",1040/24,43300,24400,98%,24600,44400
366,Mount Mercy University,"Cedar Rapids, IA",NA/21,45800,21600,98%,22300,45800
367,Ursinus College,"Collegeville, PA",NA/NA,67800,33900,100%,27000,50200
367,Wheaton College,"Norton, MA",NA/NA,67400,35200,99%,26000,48900
369,Appalachian State University,"Boone, NC",1140/25,19500,10900,74%,20500,43900
369,Wartburg College,"Waverly, IA",990/24,53100,24100,100%,27000,46100
371,Illinois Wesleyan University,"Bloomington, IL",1270/27,60200,33500,100%,27000,49000
372,Elon University,"Elon, NC",1190/27,50800,36700,90%,23300,49400
373,Linfield College-McMinnville Campus,"McMinnville, OR",1040/22,58100,30500,80%,25000,49000
374,Scripps College,"Claremont, CA",1370/30,72800,40700,100%,14000,51000
375,Auburn University,"Auburn, AL",1160/27,32000,23300,72%,21500,50700
376,University of Maine,"Orono, ME",1070/24,24800,16900,87%,26000,49000
377,Texas Christian University,"Fort Worth, TX",1180/28,64500,35800,93%,21500,52900
378,SUNY College of Technology at Alfred,"Alfred, NY",950/22,25500,15400,NA,14900,47900
379,Knox College,"Galesburg, IL",NA/NA,57900,25000,98%,27000,45600
380,University of the Pacific,"Stockton, CA",1170/27,66400,36300,97%,24600,55500
381,Tulane University of Louisiana,"New Orleans, LA",1330/31,71400,34900,97%,27500,52300
382,Yeshiva University,"New York, NY",1230/27,62000,33300,NA,19500,58900
383,University of Nebraska at Kearney,"Kearney, NE",930/22,23100,16700,85%,21300,41900
